State,,,Turnout Rates,,,Numerators,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,,
,State Results Website,Status,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted (Estimate),Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
Nevada,http://silverstateelection.com/,Official,57.30%,57.30%,49.40%,"1,125,429","1,125,385","1,964,097","2,276,281",12.60%,"12,537","13,724","5,507","25,867",,NV
New Hampshire,http://sos.nh.gov/2016GenResults.aspx,Official,72.50%,71.40%,69.10%,"755,850","744,296","1,042,102","1,076,739",3.00%,"2,764",0,0,"2,764",,NH
New Jersey,http://www.state.nj.us/state/elections/2016-results/2016-official-general-results-president-1206b.pdf,Official,65.50%,64.10%,55.70%,"3,957,303","3,874,046","6,042,792","6,959,892",11.60%,"19,214","136,137","15,180","111,992",,NJ
New Mexico,http://electionresults.sos.state.nm.us/,Official,55.20%,54.80%,50.20%,"804,043","798,319","1,456,551","1,591,069",7.30%,"7,013","15,048","2,888","18,478",,NM
New York,http://www.elections.ny.gov/2016ElectionResults.html,Official,57.30%,56.80%,49.60%,"7,786,881","7,721,453","13,591,250","15,557,982",12.00%,"47,506",0,"44,562","92,068",,NY
North Carolina,http://er.ncsbe.gov/?election_dt=11/08/2016&county_id=0&office=FED&contest=0,Official,65.20%,64.80%,60.20%,"4,769,640","4,741,564","7,318,442","7,880,013",5.90%,"35,194","85,634","11,744","95,749",,NC
North Dakota,http://results.sos.nd.gov/resultsSW.aspx?text=Race&type=SW&map=CTY,Official,61.90%,60.90%,59.30%,"349,945","344,360","565,031","581,188",2.50%,"1,772",0,0,"1,772",,ND
Ohio,https://vote.ohio.gov/,Official,64.20%,62.90%,61.00%,"5,607,641","5,496,487","8,737,173","9,007,953",2.40%,"51,727",0,0,"51,727",,OH
Oklahoma,https://www.ok.gov/elections/support/20161108_seb.html,Official,,52.40%,49.00%,,"1,452,992","2,773,970","2,965,905",4.80%,"28,538","31,281","2,116","48,484",,OK
Oregon,http://sos.oregon.gov/elections/Documents/results/november-2016-results.pdf,Official,68.30%,66.40%,61.70%,"2,056,310","2,001,336","3,012,502","3,244,277",6.70%,"15,075",0,0,"15,075",,OR
Pennsylvania,http://www.electionreturns.pa.gov/ENR_New/General/CountyBreakDownResults?officeId=1&districtId=1&ElectionID=undefined&ElectionType=undefined&IsActive=undefined,Official,,63.60%,61.00%,,"6,165,478","9,701,644","10,108,486",3.50%,"48,752",0,0,"48,752",,PA
Rhode Island,http://www.ri.gov/election/results/2016/general_election/,Official,59.70%,59.00%,54.70%,"469,589","464,144","786,033","848,975",7.00%,"3,196",0,0,"3,196",,RI
